customer_id,name,email,country,signup_date
1,Stephanie Contreras,stephanie.contreras@gmail.com,Georgia,2023-11-06
2,Lee Taylor,lee.taylor@hotmail.com,Cook Islands,2024-02-26
3,Katie Foster,katie.foster@yahoo.com,Vietnam,2024-05-08
4,Michelle Bailey,michelle.bailey@gmail.com,Albania,2025-02-27
5,Sharon Sanchez,sharon.sanchez@outlook.com,Korea,2023-12-22
6,Donna Reyes,donna.reyes@yahoo.com,Vietnam,2026-01-08
7,Melanie Horne,melanie.horne@yahoo.com,Mali,2024-02-24
8,Richard Conner,richard.conner@outlook.com,Fiji,2023-12-18
9,Jessica Mccoy,jessica.mccoy@gmail.com,Russian Federation,2025-05-22
10,Mariah Singh,mariah.singh@hotmail.com,Djibouti,2025-06-21
11,Eric Porter,eric.porter@gmail.com,Cameroon,2023-07-08
12,Robert Mitchell,robert.mitchell@yahoo.com,Indonesia,2024-10-10
13,Allen Chang,allen.chang@yahoo.com,Saint Martin,2025-12-27
14,Adam Gutierrez,adam.gutierrez@outlook.com,Yemen,2023-04-17
15,Cody Gonzales,cody.gonzales@yahoo.com,Uruguay,2023-12-31
16,Stephen Spencer,stephen.spencer@gmail.com,Saint Lucia,2025-07-06
17,Heather Jordan,heather.jordan@gmail.com,Jersey,2025-06-07
18,Lisa Taylor,lisa.taylor@outlook.com,Western Sahara,2024-03-23
19,Megan Kelley,megan.kelley@yahoo.com,Malaysia,2025-10-04
20,Cassie Frank,cassie.frank@yahoo.com,Cameroon,2024-07-30
21,Brandon Gonzales,brandon.gonzales@yahoo.com,Guatemala,2024-01-17
22,Robin Jones,robin.jones@yahoo.com,Mali,2026-01-15
23,Stephanie Brock,stephanie.brock@yahoo.com,Congo,2024-09-07
24,Shawn Davis,shawn.davis@hotmail.com,Grenada,2025-08-28
25,Lynn Bullock,lynn.bullock@outlook.com,Vanuatu,2024-12-17
26,Calvin Griffin,calvin.griffin@gmail.com,Belize,2025-05-08
27,Andrew Cole,andrew.cole@hotmail.com,Colombia,2023-12-26
28,Sherry Sampson,sherry.sampson@yahoo.com,Macao,2024-09-08
29,Kevin George,kevin.george@outlook.com,Bhutan,2024-11-02
30,Ana Howell,ana.howell@hotmail.com,Qatar,2025-05-05
31,Jeanne Jackson,jeanne.jackson@hotmail.com,Norway,2023-04-08
32,Bryan Harris,bryan.harris@gmail.com,Palestinian Territory,2025-01-29
33,Miranda Rose,miranda.rose@gmail.com,Iraq,2025-08-15
